[告示] Ａ００１ 再診料 | 注１　（１） | 認知症を有する患者等の場合
[告示] Ａ００１ 再診料 | 注１　（２） | その他の慢性疾患等を有する患者の場合
[告示] Ａ００１ 再診料 | 注１　（１） | 認知症を有する患者等の場合
[告示] Ａ００１ 再診料 | 注１　（２） | その他の慢性疾患等を有する患者の場合
[告示] Ａ１０３ 精神病棟入院基本料（１日につき） | （１） | 10対１入院基本料
[告示] Ａ１０３ 精神病棟入院基本料（１日につき） | （２） | 13対１入院基本料
[告示] Ａ１０３ 精神病棟入院基本料（１日につき） | （３） | 15対１入院基本料
[告示] Ａ１０３ 精神病棟入院基本料（１日につき） | （１） | 10対１入院基本料
[告示] Ａ１０３ 精神病棟入院基本料（１日につき） | （２） | 13対１入院基本料
[告示] Ａ１０３ 精神病棟入院基本料（１日につき） | （３） | 15対１入院基本料
[告示] Ａ１０３ 精神病棟入院基本料（１日につき） | （１） | １年未満の場合
[告示] Ａ１０３ 精神病棟入院基本料（１日につき） | （２） | １年以上の場合
[告示] Ａ１０３ 精神病棟入院基本料（１日につき） | （１） | １年未満の場合
[告示] Ａ１０３ 精神病棟入院基本料（１日につき） | （２） | １年以上の場合
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （１） | ７対１入院基本料
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （２） | 10対１入院基本料
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （１） | ７対１入院基本料
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （２） | 10対１入院基本料
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （３） | 13対１入院基本料
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （４） | 15対１入院基本料
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （１） | ７対１入院基本料
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （２） | 10対１入院基本料
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （３） | 13対１入院基本料
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （４） | 15対１入院基本料
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （１） | ７対１入院基本料
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （２） | 10対１入院基本料
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （１） | ７対１入院基本料
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （２） | 10対１入院基本料
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （３） | 13対１入院基本料
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （４） | 15対１入院基本料
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （１） | ７対１入院基本料
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （２） | 10対１入院基本料
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （３） | 13対１入院基本料
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （４） | 15対１入院基本料
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （１） | ７対１入院基本料
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （２） | 10対１入院基本料
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （１） | ７対１入院基本料
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （２） | 10対１入院基本料
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （３） | 13対１入院基本料
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （４） | 15対１入院基本料
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （１） | ７対１入院基本料
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （２） | 10対１入院基本料
[告示] Ａ１０４ 特定機能病院入院基本料（１日につき） | （３） | 13対１入院基本料
